FileName,Split-1,Split-2,Split-3,Split-4
85,Training,Training,Training,Testing
86,Training,Training,Training,Testing
87,Training,Training,Training,Testing
88,Training,Training,Training,Testing
89,Training,Training,Training,Testing
90,Training,Training,Training,Testing
91,Training,Training,Training,Testing
92,Training,Training,Training,Testing
93,Training,Training,Training,Testing
94,Training,Training,Training,Testing
95,Training,Training,Training,Testing
96,Training,Training,Training,Testing
97,Training,Training,Training,Testing
98,Training,Training,Training,Testing
99,Training,Training,Training,Testing
100,Training,Training,Training,Testing
101,Training,Training,Training,Testing
102,Training,Training,Training,Testing
103,Training,Training,Training,Testing
104,Training,Training,Training,Testing
105,Training,Training,Training,Testing
106,Training,Training,Training,Testing
107,Training,Training,Training,Testing
108,Training,Training,Training,Testing
109,Training,Training,Training,Testing
110,Training,Training,Training,Testing
111,Training,Training,Training,Testing
112,Training,Training,Training,Testing
113,Training,Training,Training,Testing
114,Training,Training,Training,Testing
115,Training,Training,Training,Testing
116,Training,Training,Training,Testing
117,Training,Training,Training,Testing
118,Training,Training,Training,Testing
119,Training,Training,Training,Testing
120,Training,Training,Training,Testing
121,Training,Training,Training,Testing
122,Training,Training,Training,Testing
123,Training,Training,Training,Testing
124,Training,Training,Training,Testing
125,Training,Training,Training,Testing
126,Training,Training,Training,Testing
127,Training,Training,Training,Testing
128,Training,Training,Training,Testing
129,Training,Training,Training,Testing
130,Training,Training,Training,Testing
131,Training,Training,Training,Testing
132,Training,Training,Training,Testing
133,Training,Training,Training,Testing
134,Training,Training,Training,Testing
135,Training,Training,Training,Testing
136,Training,Training,Training,Testing
137,Training,Training,Training,Testing
138,Training,Training,Training,Testing
139,Training,Training,Training,Testing
140,Training,Training,Training,Testing
141,Training,Training,Training,Testing
142,Training,Training,Training,Testing
143,Training,Training,Training,Testing
144,Training,Training,Training,Testing
145,Training,Training,Training,Testing
146,Training,Training,Training,Testing
147,Training,Training,Training,Testing
148,Training,Training,Training,Testing
149,Training,Training,Training,Testing
150,Training,Training,Training,Testing
151,Training,Training,Training,Testing
152,Training,Training,Training,Testing
153,Training,Training,Training,Testing
154,Training,Training,Training,Testing
155,Training,Training,Training,Testing
156,Training,Training,Training,Testing
157,Training,Training,Training,Testing
158,Training,Training,Training,Testing
159,Training,Training,Training,Testing
160,Training,Training,Training,Testing
161,Training,Training,Training,Testing
162,Training,Training,Training,Testing
163,Training,Training,Training,Testing
164,Training,Training,Training,Testing
165,Training,Training,Training,Testing
166,Training,Training,Training,Testing
167,Training,Training,Training,Testing
168,Training,Training,Training,Testing
169,Training,Training,Training,Testing
170,Training,Training,Training,Testing
171,Training,Training,Training,Testing
172,Training,Training,Training,Testing
173,Training,Training,Training,Testing
174,Training,Training,Training,Testing
175,Training,Training,Training,Testing
176,Training,Training,Training,Testing
177,Training,Training,Training,Testing
178,Training,Training,Training,Testing
179,Training,Training,Training,Testing
180,Training,Training,Training,Testing
181,Training,Training,Training,Testing
182,Training,Training,Training,Testing
183,Training,Training,Training,Testing
184,Training,Training,Training,Testing
185,Training,Training,Training,Testing
186,Training,Training,Training,Testing
187,Training,Training,Training,Testing
188,Training,Training,Training,Testing
189,Training,Training,Training,Testing
190,Training,Training,Training,Testing
191,Training,Training,Training,Testing
192,Training,Training,Training,Testing
193,Training,Training,Training,Testing
194,Training,Training,Training,Testing
195,Training,Training,Training,Testing
196,Training,Training,Training,Testing
197,Training,Training,Training,Testing
198,Training,Training,Training,Testing
199,Training,Training,Training,Testing
200,Training,Training,Training,Testing
201,Training,Training,Training,Testing
202,Training,Training,Training,Testing
203,Training,Training,Training,Testing
204,Training,Training,Training,Testing
205,Training,Training,Training,Testing
206,Training,Training,Training,Testing
207,Training,Training,Training,Testing
208,Training,Training,Training,Testing
209,Training,Training,Training,Testing
210,Training,Training,Training,Testing
211,Training,Training,Training,Testing
212,Training,Training,Training,Testing
213,Training,Training,Training,Testing
214,Training,Training,Training,Testing
215,Training,Training,Training,Testing
216,Training,Training,Training,Testing
217,Training,Training,Training,Testing
218,Training,Training,Training,Testing
219,Training,Training,Training,Testing
220,Training,Training,Training,Testing
221,Training,Training,Training,Testing
222,Training,Training,Training,Testing
223,Training,Training,Training,Testing
224,Training,Training,Training,Testing
225,Training,Training,Training,Testing
226,Training,Training,Training,Testing
227,Training,Training,Training,Testing
228,Training,Training,Training,Testing
229,Training,Training,Training,Testing
230,Training,Training,Training,Testing
231,Training,Training,Training,Testing
232,Training,Training,Training,Testing
233,Training,Training,Training,Testing
234,Training,Training,Training,Testing
235,Training,Training,Training,Testing
236,Training,Training,Training,Testing
237,Training,Training,Training,Testing
238,Training,Training,Training,Testing
239,Training,Training,Training,Testing
240,Training,Training,Training,Testing
241,Training,Training,Training,Testing
242,Training,Training,Training,Testing
243,Training,Training,Training,Testing
244,Training,Training,Training,Testing
245,Training,Training,Training,Testing
246,Training,Training,Training,Testing
247,Training,Training,Training,Testing
248,Training,Training,Training,Testing
249,Training,Training,Training,Testing
250,Training,Training,Training,Testing
251,Training,Training,Testing,Training
252,Training,Training,Testing,Training
253,Training,Training,Testing,Training
254,Training,Training,Testing,Training
255,Training,Training,Testing,Training
256,Training,Training,Testing,Training
257,Training,Training,Testing,Training
258,Training,Training,Testing,Training
259,Training,Training,Testing,Training
260,Training,Training,Testing,Training
261,Training,Training,Testing,Training
262,Training,Training,Testing,Training
263,Training,Training,Testing,Training
264,Training,Training,Testing,Training
265,Training,Training,Testing,Training
266,Training,Training,Testing,Training
267,Training,Training,Testing,Training
268,Training,Training,Testing,Training
269,Training,Training,Testing,Training
270,Training,Training,Testing,Training
271,Training,Training,Testing,Training
272,Training,Training,Testing,Training
273,Training,Training,Testing,Training
274,Training,Training,Testing,Training
275,Training,Training,Testing,Training
276,Training,Training,Testing,Training
277,Training,Training,Testing,Training
278,Training,Training,Testing,Training
279,Training,Training,Testing,Training
280,Training,Training,Testing,Training
281,Training,Training,Testing,Training
282,Training,Training,Testing,Training
283,Training,Training,Testing,Training
284,Training,Training,Testing,Training
285,Training,Training,Testing,Training
286,Training,Training,Testing,Training
287,Training,Training,Testing,Training
288,Training,Training,Testing,Training
289,Training,Training,Testing,Training
290,Training,Training,Testing,Training
291,Training,Training,Testing,Training
292,Training,Training,Testing,Training
293,Training,Training,Testing,Training
294,Training,Training,Testing,Training
295,Training,Training,Testing,Training
296,Training,Training,Testing,Training
297,Training,Training,Testing,Training
298,Training,Training,Testing,Training
299,Training,Training,Testing,Training
300,Training,Training,Testing,Training
301,Training,Training,Testing,Training
302,Training,Training,Testing,Training
303,Training,Training,Testing,Training
304,Training,Training,Testing,Training
305,Training,Training,Testing,Training
306,Training,Training,Testing,Training
307,Training,Training,Testing,Training
308,Training,Training,Testing,Training
309,Training,Training,Testing,Training
310,Training,Training,Testing,Training
311,Training,Training,Testing,Training
312,Training,Training,Testing,Training
313,Training,Training,Testing,Training
314,Training,Training,Testing,Training
315,Training,Training,Testing,Training
316,Training,Training,Testing,Training
317,Training,Training,Testing,Training
318,Training,Training,Testing,Training
319,Training,Training,Testing,Training
320,Training,Training,Testing,Training
321,Training,Training,Testing,Training
322,Training,Training,Testing,Training
323,Training,Training,Testing,Training
324,Training,Training,Testing,Training
325,Training,Training,Testing,Training
326,Training,Training,Testing,Training
327,Training,Training,Testing,Training
328,Training,Training,Testing,Training
329,Training,Training,Testing,Training
330,Training,Training,Testing,Training
331,Training,Training,Testing,Training
332,Training,Training,Testing,Training
333,Training,Training,Testing,Training
334,Training,Training,Testing,Training
335,Training,Training,Testing,Training
336,Training,Training,Testing,Training
337,Training,Training,Testing,Training
338,Training,Training,Testing,Training
339,Training,Training,Testing,Training
340,Training,Training,Testing,Training
341,Training,Training,Testing,Training
342,Training,Training,Testing,Training
343,Training,Training,Testing,Training
344,Training,Training,Testing,Training
345,Training,Training,Testing,Training
346,Training,Training,Testing,Training
347,Training,Training,Testing,Training
348,Training,Training,Testing,Training
349,Training,Training,Testing,Training
350,Training,Training,Testing,Training
351,Training,Training,Testing,Training
352,Training,Training,Testing,Training
353,Training,Training,Testing,Training
354,Training,Training,Testing,Training
355,Training,Training,Testing,Training
356,Training,Training,Testing,Training
357,Training,Training,Testing,Training
358,Training,Training,Testing,Training
359,Training,Training,Testing,Training
360,Training,Training,Testing,Training
361,Training,Training,Testing,Training
362,Training,Training,Testing,Training
363,Training,Training,Testing,Training
364,Training,Training,Testing,Training
365,Training,Training,Testing,Training
366,Training,Training,Testing,Training
367,Training,Training,Testing,Training
368,Training,Training,Testing,Training
369,Training,Training,Testing,Training
370,Training,Training,Testing,Training
371,Training,Training,Testing,Training
372,Training,Training,Testing,Training
373,Training,Training,Testing,Training
374,Training,Training,Testing,Training
375,Training,Training,Testing,Training
376,Training,Training,Testing,Training
377,Training,Training,Testing,Training
378,Training,Training,Testing,Training
379,Training,Training,Testing,Training
380,Training,Training,Testing,Training
381,Training,Training,Testing,Training
382,Training,Training,Testing,Training
383,Training,Training,Testing,Training
384,Training,Training,Testing,Training
385,Training,Training,Testing,Training
386,Training,Training,Testing,Training
387,Training,Training,Testing,Training
388,Training,Training,Testing,Training
389,Training,Training,Testing,Training
390,Training,Training,Testing,Training
391,Training,Training,Testing,Training
392,Training,Training,Testing,Training
393,Training,Training,Testing,Training
394,Training,Training,Testing,Training
395,Training,Training,Testing,Training
396,Training,Training,Testing,Training
397,Training,Training,Testing,Training
398,Training,Training,Testing,Training
399,Training,Training,Testing,Training
400,Training,Training,Testing,Training
401,Training,Training,Testing,Training
402,Training,Training,Testing,Training
403,Training,Training,Testing,Training
404,Training,Training,Testing,Training
405,Training,Training,Testing,Training
406,Training,Training,Testing,Training
407,Training,Training,Testing,Training
408,Training,Training,Testing,Training
409,Training,Training,Testing,Training
410,Training,Training,Testing,Training
411,Training,Training,Testing,Training
412,Training,Training,Testing,Training
413,Training,Training,Testing,Training
414,Training,Training,Testing,Training
415,Training,Training,Testing,Training
416,Training,Training,Testing,Training
417,Training,Training,Testing,Training
418,Training,Training,Testing,Training
419,Training,Training,Testing,Training
420,Training,Training,Testing,Training
421,Training,Training,Testing,Training
422,Training,Training,Testing,Training
423,Training,Training,Testing,Training
424,Training,Training,Testing,Training
425,Training,Training,Testing,Training
426,Training,Training,Testing,Training
427,Training,Training,Testing,Training
428,Training,Training,Testing,Training
429,Training,Training,Testing,Training
430,Training,Training,Testing,Training
431,Training,Training,Testing,Training
432,Training,Training,Testing,Training
433,Training,Training,Testing,Training
434,Training,Training,Testing,Training
435,Training,Training,Testing,Training
436,Training,Training,Testing,Training
437,Training,Training,Testing,Training
438,Training,Training,Testing,Training
439,Training,Training,Testing,Training
440,Training,Training,Testing,Training
441,Training,Training,Testing,Training
442,Training,Training,Testing,Training
443,Training,Training,Testing,Training
444,Training,Training,Testing,Training
445,Training,Training,Testing,Training
446,Training,Training,Testing,Training
447,Training,Training,Testing,Training
448,Training,Training,Testing,Training
449,Training,Training,Testing,Training
450,Training,Training,Testing,Training
451,Training,Training,Testing,Training
452,Training,Training,Testing,Training
453,Training,Training,Testing,Training
454,Training,Training,Testing,Training
455,Training,Training,Testing,Training
456,Training,Training,Testing,Training
457,Training,Training,Testing,Training
458,Training,Training,Testing,Training
459,Training,Training,Testing,Training
460,Training,Training,Testing,Training
461,Training,Training,Testing,Training
462,Training,Training,Testing,Training
463,Training,Training,Testing,Training
464,Training,Training,Testing,Training
465,Training,Training,Testing,Training
466,Training,Training,Testing,Training
467,Training,Training,Testing,Training
468,Training,Training,Testing,Training
469,Training,Training,Testing,Training
470,Training,Training,Testing,Training
471,Training,Training,Testing,Training
472,Training,Training,Testing,Training
473,Training,Training,Testing,Training
474,Training,Training,Testing,Training
475,Training,Training,Testing,Training
476,Training,Training,Testing,Training
477,Training,Training,Testing,Training
478,Training,Training,Testing,Training
479,Training,Training,Testing,Training
480,Training,Training,Testing,Training
481,Training,Training,Testing,Training
482,Training,Training,Testing,Training
483,Training,Training,Testing,Training
484,Training,Training,Testing,Training
485,Training,Training,Testing,Training
486,Training,Training,Testing,Training
487,Training,Training,Testing,Training
488,Training,Training,Testing,Training
489,Training,Training,Testing,Training
490,Training,Training,Testing,Training
491,Training,Training,Testing,Training
492,Training,Training,Testing,Training
493,Training,Training,Testing,Training
494,Training,Training,Testing,Training
495,Training,Training,Testing,Training
496,Training,Training,Testing,Training
497,Training,Training,Testing,Training
498,Training,Training,Testing,Training
499,Training,Training,Testing,Training
500,Training,Training,Testing,Training
501,Training,Testing,Training,Training
502,Training,Testing,Training,Training
503,Training,Testing,Training,Training
504,Training,Testing,Training,Training
505,Training,Testing,Training,Training
506,Training,Testing,Training,Training
507,Training,Testing,Training,Training
508,Training,Testing,Training,Training
509,Training,Testing,Training,Training
510,Training,Testing,Training,Training
511,Training,Testing,Training,Training
512,Training,Testing,Training,Training
513,Training,Testing,Training,Training
514,Training,Testing,Training,Training
515,Training,Testing,Training,Training
516,Training,Testing,Training,Training
517,Training,Testing,Training,Training
518,Training,Testing,Training,Training
519,Training,Testing,Training,Training
520,Training,Testing,Training,Training
521,Training,Testing,Training,Training
522,Training,Testing,Training,Training
523,Training,Testing,Training,Training
524,Training,Testing,Training,Training
525,Training,Testing,Training,Training
526,Training,Testing,Training,Training
527,Training,Testing,Training,Training
528,Training,Testing,Training,Training
529,Training,Testing,Training,Training
530,Training,Testing,Training,Training
531,Training,Testing,Training,Training
532,Training,Testing,Training,Training
533,Training,Testing,Training,Training
534,Training,Testing,Training,Training
535,Training,Testing,Training,Training
536,Training,Testing,Training,Training
537,Training,Testing,Training,Training
538,Training,Testing,Training,Training
539,Training,Testing,Training,Training
540,Training,Testing,Training,Training
541,Training,Testing,Training,Training
542,Training,Testing,Training,Training
543,Training,Testing,Training,Training
544,Training,Testing,Training,Training
545,Training,Testing,Training,Training
546,Training,Testing,Training,Training
547,Training,Testing,Training,Training
548,Training,Testing,Training,Training
549,Training,Testing,Training,Training
550,Training,Testing,Training,Training
551,Training,Testing,Training,Training
552,Training,Testing,Training,Training
553,Training,Testing,Training,Training
554,Training,Testing,Training,Training
555,Training,Testing,Training,Training
556,Training,Testing,Training,Training
557,Training,Testing,Training,Training
558,Training,Testing,Training,Training
559,Training,Testing,Training,Training
560,Training,Testing,Training,Training
561,Training,Testing,Training,Training
562,Training,Testing,Training,Training
563,Training,Testing,Training,Training
564,Training,Testing,Training,Training
565,Training,Testing,Training,Training
566,Training,Testing,Training,Training
567,Training,Testing,Training,Training
568,Training,Testing,Training,Training
569,Training,Testing,Training,Training
570,Training,Testing,Training,Training
571,Training,Testing,Training,Training
572,Training,Testing,Training,Training
573,Training,Testing,Training,Training
574,Training,Testing,Training,Training
575,Training,Testing,Training,Training
576,Training,Testing,Training,Training
577,Training,Testing,Training,Training
578,Training,Testing,Training,Training
579,Training,Testing,Training,Training
580,Training,Testing,Training,Training
581,Training,Testing,Training,Training
582,Training,Testing,Training,Training
583,Training,Testing,Training,Training
584,Training,Testing,Training,Training
585,Training,Testing,Training,Training
586,Training,Testing,Training,Training
587,Training,Testing,Training,Training
588,Training,Testing,Training,Training
589,Training,Testing,Training,Training
590,Training,Testing,Training,Training
591,Training,Testing,Training,Training
592,Training,Testing,Training,Training
593,Training,Testing,Training,Training
594,Training,Testing,Training,Training
595,Training,Testing,Training,Training
596,Training,Testing,Training,Training
597,Training,Testing,Training,Training
598,Training,Testing,Training,Training
599,Training,Testing,Training,Training
600,Training,Testing,Training,Training
601,Training,Testing,Training,Training
602,Training,Testing,Training,Training
603,Training,Testing,Training,Training
604,Training,Testing,Training,Training
605,Training,Testing,Training,Training
606,Training,Testing,Training,Training
607,Training,Testing,Training,Training
608,Training,Testing,Training,Training
609,Training,Testing,Training,Training
610,Training,Testing,Training,Training
611,Training,Testing,Training,Training
612,Training,Testing,Training,Training
613,Training,Testing,Training,Training
614,Training,Testing,Training,Training
615,Training,Testing,Training,Training
616,Training,Testing,Training,Training
617,Training,Testing,Training,Training
618,Training,Testing,Training,Training
619,Training,Testing,Training,Training
620,Training,Testing,Training,Training
621,Training,Testing,Training,Training
622,Training,Testing,Training,Training
623,Training,Testing,Training,Training
624,Training,Testing,Training,Training
625,Training,Testing,Training,Training
626,Training,Testing,Training,Training
627,Training,Testing,Training,Training
628,Training,Testing,Training,Training
629,Training,Testing,Training,Training
630,Training,Testing,Training,Training
631,Training,Testing,Training,Training
632,Training,Testing,Training,Training
633,Training,Testing,Training,Training
634,Training,Testing,Training,Training
635,Training,Testing,Training,Training
636,Training,Testing,Training,Training
637,Training,Testing,Training,Training
638,Training,Testing,Training,Training
639,Training,Testing,Training,Training
640,Training,Testing,Training,Training
641,Training,Testing,Training,Training
642,Training,Testing,Training,Training
643,Training,Testing,Training,Training
644,Training,Testing,Training,Training
645,Training,Testing,Training,Training
646,Training,Testing,Training,Training
647,Training,Testing,Training,Training
648,Training,Testing,Training,Training
649,Training,Testing,Training,Training
650,Training,Testing,Training,Training
651,Training,Testing,Training,Training
652,Training,Testing,Training,Training
653,Training,Testing,Training,Training
654,Training,Testing,Training,Training
655,Training,Testing,Training,Training
656,Training,Testing,Training,Training
657,Training,Testing,Training,Training
658,Training,Testing,Training,Training
659,Training,Testing,Training,Training
660,Training,Testing,Training,Training
661,Training,Testing,Training,Training
662,Training,Testing,Training,Training
663,Training,Testing,Training,Training
664,Training,Testing,Training,Training
665,Training,Testing,Training,Training
666,Training,Testing,Training,Training
667,Training,Testing,Training,Training
668,Training,Testing,Training,Training
669,Training,Testing,Training,Training
670,Training,Testing,Training,Training
671,Training,Testing,Training,Training
672,Training,Testing,Training,Training
673,Training,Testing,Training,Training
674,Training,Testing,Training,Training
675,Training,Testing,Training,Training
676,Training,Testing,Training,Training
677,Training,Testing,Training,Training
678,Training,Testing,Training,Training
679,Training,Testing,Training,Training
680,Training,Testing,Training,Training
681,Training,Testing,Training,Training
682,Training,Testing,Training,Training
683,Training,Testing,Training,Training
684,Training,Testing,Training,Training
685,Training,Testing,Training,Training
686,Training,Testing,Training,Training
687,Training,Testing,Training,Training
688,Training,Testing,Training,Training
689,Training,Testing,Training,Training
690,Training,Testing,Training,Training
691,Training,Testing,Training,Training
692,Training,Testing,Training,Training
693,Training,Testing,Training,Training
694,Training,Testing,Training,Training
695,Training,Testing,Training,Training
696,Training,Testing,Training,Training
697,Training,Testing,Training,Training
698,Training,Testing,Training,Training
699,Training,Testing,Training,Training
700,Training,Testing,Training,Training
701,Val,Testing,Training,Training
702,Val,Testing,Training,Training
703,Val,Testing,Training,Training
704,Val,Testing,Training,Training
705,Val,Testing,Training,Training
706,Val,Testing,Training,Training
707,Val,Testing,Training,Training
708,Val,Testing,Training,Training
709,Val,Testing,Training,Training
710,Val,Testing,Training,Training
711,Val,Testing,Training,Training
712,Val,Testing,Training,Training
713,Val,Testing,Training,Training
714,Val,Testing,Training,Training
715,Val,Testing,Training,Training
716,Val,Testing,Training,Training
717,Val,Testing,Training,Training
718,Val,Testing,Training,Training
719,Val,Testing,Training,Training
720,Val,Testing,Training,Training
721,Val,Testing,Training,Training
722,Val,Testing,Training,Training
723,Val,Testing,Training,Training
724,Val,Testing,Training,Training
725,Val,Testing,Training,Training
726,Val,Testing,Training,Training
727,Val,Testing,Training,Training
728,Val,Testing,Training,Training
729,Val,Testing,Training,Training
730,Val,Testing,Training,Training
731,Val,Testing,Training,Training
732,Val,Testing,Training,Training
733,Val,Testing,Training,Training
734,Val,Testing,Training,Training
735,Val,Testing,Training,Training
736,Val,Testing,Training,Training
737,Val,Testing,Training,Training
738,Val,Testing,Training,Training
739,Val,Testing,Training,Training
740,Val,Testing,Training,Training
741,Val,Testing,Training,Training
742,Val,Testing,Training,Training
743,Val,Testing,Training,Training
744,Val,Testing,Training,Training
745,Val,Testing,Training,Training
746,Val,Testing,Training,Training
747,Val,Testing,Training,Training
748,Val,Testing,Training,Training
749,Val,Testing,Training,Training
750,Val,Testing,Training,Training
751,Testing,Val,Training,Training
752,Testing,Val,Training,Training
753,Testing,Val,Training,Training
754,Testing,Val,Training,Training
755,Testing,Val,Training,Training
756,Testing,Val,Training,Training
757,Testing,Val,Training,Training
758,Testing,Val,Training,Training
759,Testing,Val,Training,Training
760,Testing,Val,Training,Training
761,Testing,Val,Training,Training
762,Testing,Val,Training,Training
763,Testing,Val,Training,Training
764,Testing,Val,Training,Training
765,Testing,Val,Training,Training
766,Testing,Val,Training,Training
767,Testing,Val,Training,Training
768,Testing,Val,Training,Training
769,Testing,Val,Training,Training
770,Testing,Val,Training,Training
771,Testing,Val,Training,Training
772,Testing,Val,Training,Training
773,Testing,Val,Training,Training
774,Testing,Val,Training,Training
775,Testing,Val,Training,Training
776,Testing,Val,Training,Training
777,Testing,Val,Training,Training
778,Testing,Val,Training,Training
779,Testing,Val,Training,Training
780,Testing,Val,Training,Training
781,Testing,Val,Training,Training
782,Testing,Val,Training,Training
783,Testing,Val,Training,Training
784,Testing,Val,Training,Training
785,Testing,Val,Training,Training
786,Testing,Val,Training,Training
787,Testing,Val,Training,Training
788,Testing,Val,Training,Training
789,Testing,Val,Training,Training
790,Testing,Val,Training,Training
791,Testing,Val,Training,Training
792,Testing,Val,Training,Training
793,Testing,Val,Training,Training
794,Testing,Val,Training,Training
795,Testing,Val,Training,Training
796,Testing,Val,Training,Training
797,Testing,Val,Training,Training
798,Testing,Val,Training,Training
799,Testing,Val,Training,Training
800,Testing,Val,Training,Training
801,Testing,Training,Val,Training
802,Testing,Training,Val,Training
803,Testing,Training,Val,Training
804,Testing,Training,Val,Training
805,Testing,Training,Val,Training
806,Testing,Training,Val,Training
807,Testing,Training,Val,Training
808,Testing,Training,Val,Training
809,Testing,Training,Val,Training
810,Testing,Training,Val,Training
811,Testing,Training,Val,Training
812,Testing,Training,Val,Training
813,Testing,Training,Val,Training
814,Testing,Training,Val,Training
815,Testing,Training,Val,Training
816,Testing,Training,Val,Training
817,Testing,Training,Val,Training
818,Testing,Training,Val,Training
819,Testing,Training,Val,Training
820,Testing,Training,Val,Training
821,Testing,Training,Val,Training
822,Testing,Training,Val,Training
823,Testing,Training,Val,Training
824,Testing,Training,Val,Training
825,Testing,Training,Val,Training
826,Testing,Training,Val,Training
827,Testing,Training,Val,Training
828,Testing,Training,Val,Training
829,Testing,Training,Val,Training
830,Testing,Training,Val,Training
831,Testing,Training,Val,Training
832,Testing,Training,Val,Training
833,Testing,Training,Val,Training
834,Testing,Training,Val,Training
835,Testing,Training,Val,Training
836,Testing,Training,Val,Training
837,Testing,Training,Val,Training
838,Testing,Training,Val,Training
839,Testing,Training,Val,Training
840,Testing,Training,Val,Training
841,Testing,Training,Val,Training
842,Testing,Training,Val,Training
843,Testing,Training,Val,Training
844,Testing,Training,Val,Training
845,Testing,Training,Val,Training
846,Testing,Training,Val,Training
847,Testing,Training,Val,Training
848,Testing,Training,Val,Training
849,Testing,Training,Val,Training
850,Testing,Training,Val,Training
851,Testing,Training,Training,Val
852,Testing,Training,Training,Val
853,Testing,Training,Training,Val
854,Testing,Training,Training,Val
855,Testing,Training,Training,Val
856,Testing,Training,Training,Val
857,Testing,Training,Training,Val
858,Testing,Training,Training,Val
859,Testing,Training,Training,Val
860,Testing,Training,Training,Val
861,Testing,Training,Training,Val
862,Testing,Training,Training,Val
863,Testing,Training,Training,Val
864,Testing,Training,Training,Val
865,Testing,Training,Training,Val
866,Testing,Training,Training,Val
867,Testing,Training,Training,Val
868,Testing,Training,Training,Val
869,Testing,Training,Training,Val
870,Testing,Training,Training,Val
871,Testing,Training,Training,Val
872,Testing,Training,Training,Val
873,Testing,Training,Training,Val
874,Testing,Training,Training,Val
875,Testing,Training,Training,Val
876,Testing,Training,Training,Val
877,Testing,Training,Training,Val
878,Testing,Training,Training,Val
879,Testing,Training,Training,Val
880,Testing,Training,Training,Val
881,Testing,Training,Training,Val
882,Testing,Training,Training,Val
883,Testing,Training,Training,Val
884,Testing,Training,Training,Val
885,Testing,Training,Training,Val
886,Testing,Training,Training,Val
887,Testing,Training,Training,Val
888,Testing,Training,Training,Val
889,Testing,Training,Training,Val
890,Testing,Training,Training,Val
891,Testing,Training,Training,Val
892,Testing,Training,Training,Val
893,Testing,Training,Training,Val
894,Testing,Training,Training,Val
895,Testing,Training,Training,Val
896,Testing,Training,Training,Val
897,Testing,Training,Training,Val
898,Testing,Training,Training,Val
899,Testing,Training,Training,Val
900,Testing,Training,Training,Val
901,Testing,Training,Training,Training
902,Testing,Training,Training,Training
903,Testing,Training,Training,Training
904,Testing,Training,Training,Training
905,Testing,Training,Training,Training
906,Testing,Training,Training,Training
907,Testing,Training,Training,Training
908,Testing,Training,Training,Training
909,Testing,Training,Training,Training
910,Testing,Training,Training,Training
911,Testing,Training,Training,Training
912,Testing,Training,Training,Training
913,Testing,Training,Training,Training
914,Testing,Training,Training,Training
915,Testing,Training,Training,Training
916,Testing,Training,Training,Training
917,Testing,Training,Training,Training
918,Testing,Training,Training,Training
919,Testing,Training,Training,Training
920,Testing,Training,Training,Training
921,Testing,Training,Training,Training
922,Testing,Training,Training,Training
923,Testing,Training,Training,Training
924,Testing,Training,Training,Training
925,Testing,Training,Training,Training
926,Testing,Training,Training,Training
927,Testing,Training,Training,Training
928,Testing,Training,Training,Training
929,Testing,Training,Training,Training
930,Testing,Training,Training,Training
